"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1176","Registration with correct email, username and password","LMS system","Wed Aug 27 08:25:18 UTC 2025","passed","Wed Aug 27 08:25:19 UTC 2025","Registration","Authentication","",""
"","1401","User login with wrong email or password","LMS system","Wed Aug 27 08:25:15 UTC 2025","passed","Wed Aug 27 08:25:16 UTC 2025","Authorization","Authentication","",""
"","1038","User login with wrong email or password","LMS system","Wed Aug 27 08:25:17 UTC 2025","passed","Wed Aug 27 08:25:18 UTC 2025","Authorization","Authentication","",""
"","1113","User login with wrong email or password","LMS system","Wed Aug 27 08:25:16 UTC 2025","passed","Wed Aug 27 08:25:17 UTC 2025","Authorization","Authentication","",""
"","1050","Check displaying of empty courses list","LMS system","Wed Aug 27 08:25:20 UTC 2025","passed","Wed Aug 27 08:25:21 UTC 2025","Courses","Courses","",""
"","2107","User login with correct email and password","LMS system","Wed Aug 27 08:25:15 UTC 2025","passed","Wed Aug 27 08:25:17 UTC 2025","Authorization","Authentication","",""
"","2391","Create course","LMS system","Wed Aug 27 08:25:21 UTC 2025","passed","Wed Aug 27 08:25:23 UTC 2025","Courses","Courses","",""
"","988","Navigation from login page to registration page","LMS system","Wed Aug 27 08:25:18 UTC 2025","passed","Wed Aug 27 08:25:19 UTC 2025","Authorization","Authentication","",""
"","1191","Check displaying of dashboard page","LMS system","Wed Aug 27 08:25:23 UTC 2025","passed","Wed Aug 27 08:25:24 UTC 2025","Dashboard","Dashboard","",""
"","3509","Edit course","LMS system","Wed Aug 27 08:25:21 UTC 2025","passed","Wed Aug 27 08:25:25 UTC 2025","Courses","Courses","",""
