"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 07:26:17 GMT 2025","Wed Aug 27 07:26:18 GMT 2025","1137","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Aug 27 07:26:13 GMT 2025","Wed Aug 27 07:26:14 GMT 2025","1136","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 27 07:26:15 GMT 2025","Wed Aug 27 07:26:17 GMT 2025","1277","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Aug 27 07:26:14 GMT 2025","Wed Aug 27 07:26:15 GMT 2025","1108","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 27 07:26:11 GMT 2025","Wed Aug 27 07:26:14 GMT 2025","2362","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Aug 27 07:26:19 GMT 2025","Wed Aug 27 07:26:22 GMT 2025","2872","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Aug 27 07:26:18 GMT 2025","Wed Aug 27 07:26:22 GMT 2025","3789","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Aug 27 07:26:14 GMT 2025","Wed Aug 27 07:26:16 GMT 2025","1048","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Aug 27 07:26:22 GMT 2025","Wed Aug 27 07:26:23 GMT 2025","1173","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Aug 27 07:26:11 GMT 2025","Wed Aug 27 07:26:13 GMT 2025","1577","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
